Name,Casno,Formula,hit_prob,match_factor,reverse_match_factor,rt1,rt2,Area,Height
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,68.45,762,929,42.06063355049819,0.6124497991967871,74407970.19981657,8765072.728178972
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.68,767,923,43.41542602612579,0.9688755020080321,20834547.41711096,8578529.464885417
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.24,748,915,42.83182311354775,0.2660642570281124,21055236.598158542,8769908.895385668
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,65.96,751,929,42.394120929114216,1.0190763052208835,20633431.94215054,8588914.132604076
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,69.12,772,932,42.12316243398869,0.26104417670682734,72991920.41070028,8622283.732207254
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.48,750,925,42.456649812604724,0.6676706827309237,82897556.41724445,8622164.229420444
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,68.35,754,933,42.70676534656673,0.9688755020080321,21274569.309336193,8780730.09379124
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,61.78,768,931,42.35243500678721,0.11044176706827309,72718920.69304013,8660128.8525175
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.08,751,925,42.43580685144122,0.21586345381526104,87238369.65835568,8609767.264375277
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,68.46,754,928,42.54002165725873,0.7680722891566265,82105798.02600464,8626042.93326937
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,65.03,747,922,41.35197287093913,0.6124497991967871,73885511.51074874,8563719.185972411
"Silanol, trimethyl-",1066-40-6,C3H10OSi,81.18,890,900,6.627599572545437,0.030120481927710843,526586970.0615131,9714267.381440816
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.58,755,932,42.74845126889374,0.16566265060240964,82865448.39767458,8742912.001265505
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,69.57,756,927,42.56086461842223,1.2198795180722892,20695836.215445112,8569695.226143513
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,64.18,762,928,42.14400539515219,0.7128514056224899,74443592.06627655,8730022.760340463
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,70.48,765,931,42.08147651166169,1.0642570281124497,73978843.15737225,8691090.50291653
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,63.74,767,930,43.16531049216377,0.6676706827309237,77774985.68712696,8550141.599815825
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,69.27,769,931,42.310749084460205,0.9136546184738956,72776736.41566455,8668297.995286752
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.52,750,923,42.665079424239735,0.06526104417670683,21037281.404859718,8704528.621450843
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,65.7,749,922,42.60255054074923,0.4166666666666667,21019084.860537454,8734860.76144297
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,69.19,770,934,43.18615345332727,1.1194779116465863,77455727.40358761,8471742.758626265
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.43,751,928,42.76929423005724,0.6174698795180723,82418987.15812668,8736637.830869121
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,60.45,758,930,43.81144228823233,1.0240963855421688,82013801.99406755,8547533.753133757
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,69.75,774,936,43.144467531000274,0.21586345381526104,77597785.67709628,8488172.181971211
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,68.11,767,930,43.06109568634626,0.11546184738955824,76648684.55231582,8436910.908752691
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.16,751,930,42.68592238540324,0.5170682730923695,83480866.71009025,8722441.041882692
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,69.93,766,931,43.081938647509766,0.5672690763052208,77559692.54613553,8466910.282648452
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,62.23,755,920,45.43719325898545,0.4267068273092369,20100061.63614575,8373870.4271153705
α-Pinene,80-56-8,C10H16,19.21,931,939,16.69474981451672,1.1244979919678715,267060927.79384717,8380625.068137982
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,70.81,774,932,44.186615589175354,0.6224899598393574,20297330.87120661,8378872.91530304
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,62.34,757,928,43.790599327068826,0.572289156626506,20658807.06781095,8501516.096423332
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,57.51,738,920,41.60208840490115,0.9136546184738956,57923373.67779065,9543040.962149648
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.44,772,933,43.22783937565428,0.31626506024096385,71663213.51512031,8395162.395504065
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.62,768,931,43.10278160867327,1.0190763052208835,97494255.96556471,8462694.765951766
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,60.0,751,924,41.331129909775626,0.1606425702811245,71341097.50031942,8349280.180369555
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.23,759,928,45.103705880369425,0.025100401606425703,20022574.207753923,8345767.153215603
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,69.25,782,927,45.06201995804242,0.8232931726907631,19931849.080880158,8316983.822078183
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,65.03,753,922,43.853128210559326,0.22088353413654618,81478380.90415743,8429744.149856897
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.66,769,935,44.16577262801185,0.1706827309236948,20350204.06650243,8377527.412512203
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,67.16,762,925,43.978185977540335,1.2248995983935742,20161579.840387177,8332741.145052673
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,69.01,776,933,44.332516317319865,0.3714859437751004,20061601.417198524,8283414.240796364
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.53,762,925,44.04071486103084,0.8734939759036144,20200134.962013047,8318820.737183865
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,63.33,753,927,43.76975636590532,0.12048192771084337,20406231.42433195,8406132.753901072
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,68.57,765,927,44.01987189986734,0.42168674698795183,20195797.58590703,8324281.350731183
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,63.8,770,928,43.24868233681778,0.7680722891566265,91363596.88955818,8401586.865162028
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,63.91,765,928,45.39550733665845,1.2299196787148594,19950545.474021416,8322923.279316933
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,65.08,766,922,43.477954909616294,0.6174698795180723,71614582.81641465,8486913.418810159
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,68.65,765,925,43.01940976401926,0.9186746987951807,77342926.28208145,8470224.202653805
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,70.3,775,932,44.207458550338856,1.0742971887550201,20123262.62751843,8298470.1718650395
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,70.03,777,930,44.395045200810365,0.020080321285140562,20019747.795986846,8255827.937112133
"Cyclotrisiloxane, hexamethyl-",541-5-9,C6H18O3Si3,66.15,763,933,43.87397117172283,0.6726907630522089,80365883.63406515,8430291.094633508
